,lat_four,lng_four,city,town,village,hamlet,state_district
189,51.1279,-3.0036,Sedgemoor,,,,South West England
190,51.1279,-3.0036,Sedgemoor,,,,South West England
191,51.2392,-0.1699,Reigate and Banstead,,,,South East
192,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
193,51.8959,0.8919,,Colchester,,,East of England
194,51.4923,-0.1482,London,,,,Greater London
195,52.2436,-0.8802,,Northampton,,,East Midlands
196,51.0629,-0.3259,,Horsham,,,South East
197,51.51988,-0.09446,City of London,,,,Greater London
198,50.7205,-3.5258,Exeter,,,,South West England
199,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
200,51.5207,-0.1519,London,,,,Greater London
201,53.4808,-2.2426,Manchester,,,,North West England
202,51.5008,-0.0784,London,,,,Greater London
203,51.7545,-0.33,St Albans,,,,East of England
204,54.0497,-2.7787,Lancaster,,,,North West England
205,51.4808,-0.0231,London,,,,Greater London
206,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
207,51.4647,0.0079,London,,,,Greater London
208,53.4808,-2.2426,Manchester,,,,North West England
209,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
210,51.2599,-0.5816,,Guildford,,,South East
211,50.6221,-4.6824,,Camelford,,,South West England
212,50.7236,-3.52751,Exeter,,,,South West England
213,53.7131,-1.8867,Calderdale,,,,Yorkshire and the Humber
214,51.4588,-0.5611,,,Wraysbury,,South East
215,51.5054,-2.6016,Bristol,,,,South West England
216,51.3077,-0.7575,Rushmoor,,,,South East
217,51.3762,-0.0982,London,,,,Greater London
218,51.5225,-0.1632,London,,,,Greater London
219,50.9061,-1.3406,Southampton,,,,South East
220,50.8198,-1.088,Portsmouth,,,,South East
221,50.5239,-3.5906,Teignbridge,,,,South West England
222,50.7236,-3.52751,Exeter,,,,South West England
223,52.0567,1.1482,,Ipswich,,,East of England
224,52.0567,1.1482,,Ipswich,,,East of England
225,52.0567,1.1482,,Ipswich,,,East of England
226,51.4991,-0.198,London,,,,Greater London
227,53.7901,-1.5486,Leeds,,,,Yorkshire and the Humber
228,51.4912,-0.2237,London,,,,Greater London
229,51.5152,-0.0918,City of London,,,,Greater London
230,51.4815,-0.1875,London,,,,Greater London
231,51.406000000000006,0.0132,London,,,,Greater London
232,51.2362,-0.5704,,Guildford,,,South East
233,52.216,-0.9009,,Northampton,,,East Midlands
234,52.2436,-0.8802,,Northampton,,,East Midlands
235,52.4788,-1.8942,Birmingham,,,,West Midlands
236,52.6401,-1.1675,Leicester,,,,East Midlands
237,50.7205,-3.5258,Exeter,,,,South West England
238,50.7236,-3.52751,Exeter,,,,South West England
239,50.8198,-1.088,Portsmouth,,,,South East
240,50.7236,-3.52751,Exeter,,,,South West England
241,50.7205,-3.5258,Exeter,,,,South West England
242,50.7205,-3.5258,Exeter,,,,South West England
243,51.5206,-2.5641,,Filton,,,South West England
244,52.9536,-1.15047,City of Nottingham,,,,East Midlands
245,52.9536,-1.15047,City of Nottingham,,,,East Midlands
246,51.5358,-0.9029,South Oxfordshire,,,,South East
247,50.7236,-3.52751,Exeter,,,,South West England
248,51.1656,-1.3780000000000001,Test Valley,,,,South East
249,51.2392,-0.1699,Reigate and Banstead,,,,South East
250,52.1947,0.1322,Cambridge,,,,East of England
251,51.5248,-0.1609,London,,,,Greater London
252,52.0567,1.1482,,Ipswich,,,East of England
253,51.51988,-0.09446,City of London,,,,Greater London
254,51.493840000000006,-0.22882,London,,,,Greater London
255,51.5268,-0.0954,London,,,,Greater London
256,51.4898,-0.3088,London,,,,Greater London
257,51.4925,-0.272,London,,,,Greater London
258,53.9588,-1.0735,York,,,,Yorkshire and the Humber
259,51.5143,-0.1499,London,,,,Greater London
260,50.7236,-3.52751,Exeter,,,,South West England
261,50.7273,-3.4744,Exeter,,,,South West England
262,50.7236,-3.52751,Exeter,,,,South West England
263,51.4902,-0.1353,London,,,,Greater London
264,51.516000000000005,-0.1742,London,,,,Greater London
265,50.7258,-3.5388,Exeter,,,,South West England
266,51.5374,-0.1442,London,,,,Greater London
267,51.8918,-2.0819,,Cheltenham,,,South West England
268,50.7236,-3.52751,Exeter,,,,South West England
269,50.7236,-3.52751,Exeter,,,,South West England
270,50.7273,-3.4744,Exeter,,,,South West England
271,50.7236,-3.52751,Exeter,,,,South West England
272,51.5088,-0.6006,,Slough,,,South East
273,51.5394,-0.1046,London,,,,Greater London
274,51.2949,-0.3312,,Leatherhead,,,South East
275,51.3429,0.2293,,Sevenoaks,,,South East
276,52.9536,-1.15047,City of Nottingham,,,,East Midlands
277,51.4816,0.2478,,,Purfleet,,East of England
278,51.5054,-0.0235,London,,,,Greater London
279,52.2053,0.1218,Cambridge,,,,East of England
280,53.6003,-1.0216,,Doncaster,,,Yorkshire and the Humber
281,51.9,-0.1991,,Stevenage,,,East of England
282,54.0169,-1.5297,,Harrogate,,,Yorkshire and the Humber
283,51.5505,-0.3048,London,,,,Greater London
284,50.7236,-3.52751,Exeter,,,,South West England
285,52.9536,-1.15047,City of Nottingham,,,,East Midlands
286,51.5215,-0.1584,London,,,,Greater London
287,50.547,-3.4967,Teignbridge,,,,South West England
288,50.7224,-1.8646,,Bournemouth,,,South West England
289,50.7224,-1.8646,,Bournemouth,,,South West England
290,51.6071,0.1582,London,,,,Greater London
291,52.2436,-0.8802,,Northampton,,,East Midlands
292,51.5195,-0.09,City of London,,,,Greater London
293,53.4864,-2.0549,Tameside,,,,North West England
294,51.3794,-0.0508,London,,,,Greater London
295,51.5806,-0.342,London,,,,Greater London
296,51.0538,-1.7958,Salisbury,,,,South West England
