lat_four,lng_four
51.4624,-0.3693
51.5189,-0.1499
51.3596,1.4291
51.0629,-0.3259
51.5148,-0.0989
52.1598,-0.7018
51.5206,-0.084
53.5182,-2.2907
51.1279,-3.0036
51.3168,-0.56
53.4818,-2.2545
51.4969,-0.2304
51.4504,-0.3302
51.5558,-1.7797
50.7236,-3.52751
51.51988,-0.09446
51.5206,-0.084
51.5148,-0.0989
51.5148,-0.0989
51.6286,-0.7482
51.6178,-0.1075
51.5443,-0.4637
52.9539,-1.1413
51.7541,-0.3298
52.243,-0.8735
52.6413,1.3037
52.8415,-1.0332
51.0612,-1.3064
51.5019,-0.2133
51.539,-0.1426
53.4909,-2.3221
